0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;
66.67%;30.56%;12.96%;5.25%;2.06%;0.79%;0.30%;0.11%;0.04%;0.01%;0.01%;
88.89%;60.65%;35.88%;19.30%;9.71%;4.64%;2.13%;0.95%;0.41%;0.17%;0.07%;
96.30%;80.09%;58.41%;38.37%;23.22%;13.17%;7.09%;3.66%;1.82%;0.88%;0.41%;
98.77%;90.64%;75.46%;57.17%;39.88%;25.94%;15.91%;9.28%;5.19%;2.80%;1.46%;
99.59%;95.82%;86.52%;72.47%;56.35%;40.92%;27.97%;18.13%;11.22%;6.67%;3.82%;
99.86%;98.20%;93.00%;83.42%;70.34%;55.76%;41.70%;29.56%;19.98%;12.94%;8.06%;
99.95%;99.25%;96.53%;90.53%;80.98%;68.72%;55.31%;42.30%;30.86%;21.54%;14.46%;
99.98%;99.69%;98.34%;94.83%;88.39%;79.00%;67.44%;54.95%;42.79%;31.93%;22.89%;
99.99%;99.88%;99.23%;97.28%;93.21%;86.52%;77.35%;66.38%;54.65%;43.20%;32.84%;
100.00%;99.95%;99.65%;98.62%;96.18%;91.70%;84.89%;75.95%;65.50%;54.41%;43.55%;
